Province,"Rate type (HST, GST, PST)",PST,GST,HST
Alberta,GST,0.00,0.05,0.05
British Columbia,GST+PST,0.07,0.05,0.12
Manitoba,GST+PST,0.07,0.05,0.12
New-Brunswick,HST,0.10,0.05,0.15
Newfoundland and Labrador,HST,0.10,0.05,0.15
Northwest Territories,GST,0.00,0.05,0.05
Nova Scotia,HST,0.10,0.05,0.15
Nunavut,GST,0.00,0.05,0.05
Ontario,HST,0.08,0.05,0.13
Prince Edward Island,HST,0.10,0.05,0.15
Quebec,GST + QST,0.10,0.05,0.15
Saskatchewan,GST + PST,0.06,0.05,0.11
Yukon,GST,0.00,0.05,0.05
